Iteration_Step,Fidelity_BO,alpha_actual,th_w_ratio_actual,Objective_BO,Objective_Actual,Execution_Time_s
Initial,0.0,2.046162651100889,3145.632833116487,-10000000000.0,-10000000000.0,0.0028657913208007812
Initial,0.0,1.5001127276322594,2711.2988623157526,-10000000000.0,-10000000000.0,0.0021495819091796875
Initial,0.0,2.646979137048828,7594.812654996624,-10000000000.0,-10000000000.0,0.002134084701538086
Initial,0.0,4.137943273420772,477.1611807439227,-10000000000.0,-10000000000.0,0.0020160675048828125
Initial,0.0,4.876937600917899,5519.89111312849,-10000000000.0,-10000000000.0,0.002534627914428711
Initial,0.0,2.307854073049713,6273.545036145656,-10000000000.0,-10000000000.0,0.002019166946411133
Initial,0.0,3.551368313577928,9453.689361119339,-10000000000.0,-10000000000.0,0.003461122512817383
Initial,0.0,1.0623077817799194,1167.0653167779244,-10000000000.0,-10000000000.0,0.0
Initial,0.0,4.356665852161918,4975.293936009858,-10000000000.0,-10000000000.0,0.0
Initial,0.0,3.175077017963427,8520.171811077653,-10000000000.0,-10000000000.0,0.004595518112182617
Initial,1.0,2.046162651100889,3145.632833116487,10000000000.0,-10000000000.0,0.004662513732910156
Initial,1.0,1.5001127276322594,2711.2988623157526,10000000000.0,-10000000000.0,0.0018248558044433594
Initial,1.0,4.876937600917899,5519.89111312849,10000000000.0,-10000000000.0,0.002283811569213867
Initial,1.0,2.307854073049713,6273.545036145656,10000000000.0,-10000000000.0,0.004578828811645508
Initial,1.0,3.551368313577928,9453.689361119339,10000000000.0,-10000000000.0,0.0022220611572265625
Iter_1,1.0,4.9489262003150145,9331.530250975462,10000000000.0,-10000000000.0,0.0017418861389160156
Iter_2,1.0,5.0,465.1534369126072,10000000000.0,-10000000000.0,0.002003908157348633
Iter_3,0.0,3.9071650866865135,6898.978526865932,-10000000000.0,-10000000000.0,0.004012584686279297
Iter_4,1.0,2.668900022425787,100.0,10000000000.0,-10000000000.0,0.0017440319061279297
Iter_5,1.0,3.6311795265055222,2588.7424772748786,10000000000.0,-10000000000.0,0.0
Iter_6,0.0,1.3889563113333203,8898.757956685877,-10000000000.0,-10000000000.0,0.0020062923431396484
Iter_7,1.0,1.0107066178535258,10000.0,10000000000.0,-10000000000.0,0.014036893844604492
Iter_8,1.0,2.159776359424826,10000.0,10000000000.0,-10000000000.0,0.0020024776458740234
Iter_9,1.0,1.0,6176.780431064481,10000000000.0,-10000000000.0,0.0020034313201904297
Iter_10,1.0,3.5901003004289493,6074.360074060859,10000000000.0,-10000000000.0,0.0
Iter_11,1.0,1.7425764926104494,7991.262085696187,10000000000.0,-10000000000.0,0.001741647720336914
Iter_12,1.0,1.0,3584.009270248789,10000000000.0,-10000000000.0,0.0020036697387695312
Iter_13,1.0,3.1021984154536146,3743.5140607908006,10000000000.0,-10000000000.0,0.0
Iter_14,1.0,4.303991670398528,7664.842127689965,10000000000.0,-10000000000.0,0.0
Iter_15,1.0,3.9123749320508403,100.0,10000000000.0,-10000000000.0,0.0
Iter_16,1.0,3.0991102947495603,7876.7588038554795,10000000000.0,-10000000000.0,0.0
Iter_17,1.0,1.5714402977959037,5268.564043546886,10000000000.0,-10000000000.0,0.0
Iter_18,1.0,2.7723674992165073,1549.0302012965424,10000000000.0,-10000000000.0,0.0020041465759277344
Iter_19,1.0,3.309440252837066,5341.699290308706,10000000000.0,-10000000000.0,0.002003192901611328
Iter_20,1.0,1.0,7751.604153158315,10000000000.0,-10000000000.0,0.0
Iter_21,1.0,2.443445501227396,8451.608333615895,10000000000.0,-10000000000.0,0.0017418861389160156
Iter_22,1.0,5.0,7387.930385194776,10000000000.0,-10000000000.0,0.0020034313201904297
Iter_23,1.0,2.157295690707646,4220.3309289771005,10000000000.0,-10000000000.0,0.0030481815338134766
Iter_24,1.0,5.0,2850.651522566113,10000000000.0,-10000000000.0,0.0
Iter_25,1.0,4.2799984385808685,2537.388327986001,10000000000.0,-10000000000.0,0.0
Recommendation,1.0,2.3503168644842223,5463.781331298472,10000000000.0,-10000000000.0,0.016396284103393555
